起始组,终止组,r,d,k
1,13,0.9671137484432624,0.15210432776114058,1.467765833817548
1,12,0.9641056996951111,0.1380274707119657,1.5925141906939138
2,13,0.9730931686186984,0.17366524254008042,1.4356009319816092
1,11,0.9473122496850583,0.1269822426152892,1.720260944707471
2,12,0.9718747318235526,0.15889383546816904,1.552988254794877
3,13,0.978043440540668,0.1952257729665604,1.4037814191443612
1,10,0.9212661856043562,0.11018088546088395,1.9816296670941642
2,11,0.9581950804270533,0.14794622840167038,1.6657014626952449
3,12,0.9782901175639859,0.17958140277999673,1.5143662217316156
4,13,0.9818232093470293,0.2167223300970874,1.3723565754633715
